--------------------
BDMEP - INMET
--------------------
Estação           : CARINHANHA - BA (OMM: 83408)
Latitude  (graus) : -14.28
Longitude (graus) : -43.76
Altitude  (metros): 450.18
Estação Operante
Inicio de operação: 01/12/1927
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;
83408;02/10/1994;1200;;10.7;;
83408;03/10/1994;0000;37.5;;26.24;
83408;03/10/1994;1200;;11.2;;
83408;04/10/1994;0000;39.1;;27.96;
83408;04/10/1994;1200;;11.5;;
83408;05/10/1994;0000;36.9;;28.38;
83408;05/10/1994;1200;;17.7;;
83408;06/10/1994;0000;35.2;;27.08;
83408;06/10/1994;1200;;15.5;;
83408;07/10/1994;0000;34.3;;25.14;
83408;07/10/1994;1200;;15.5;;
83408;08/10/1994;0000;27.4;;23.66;
83408;08/10/1994;1200;;16.7;;
83408;09/10/1994;0000;33.1;;25.92;
83408;09/10/1994;1200;;16.7;;
83408;10/10/1994;0000;34.8;;26.62;
83408;10/10/1994;1200;;14.6;;
83408;11/10/1994;0000;37.6;;27.68;
83408;11/10/1994;1200;;14.1;;
83408;12/10/1994;0000;39.3;;30.4;
83408;12/10/1994;1200;;21.9;;
83408;13/10/1994;0000;35.3;;28.04;
83408;13/10/1994;1200;;21.8;;
83408;14/10/1994;0000;36.1;;28.22;
83408;14/10/1994;1200;;19.9;;
83408;15/10/1994;0000;35.5;;28.32;
83408;15/10/1994;1200;;20.6;;
83408;16/10/1994;0000;35;;27.54;
83408;16/10/1994;1200;;20.9;;
83408;17/10/1994;0000;35.2;;27.78;
83408;17/10/1994;1200;;19.2;;
83408;18/10/1994;0000;36.1;;29.26;
83408;18/10/1994;1200;;23.1;;
83408;19/10/1994;0000;36.1;;29.34;
83408;19/10/1994;1200;;22.9;;
83408;20/10/1994;0000;35.9;;29.64;
83408;20/10/1994;1200;;22.9;;
83408;21/10/1994;0000;34.7;;29;
83408;21/10/1994;1200;;24;;
83408;22/10/1994;0000;35.5;;29.54;
83408;22/10/1994;1200;;22.5;;
83408;23/10/1994;0000;35.4;;28.6;
83408;23/10/1994;1200;;22.3;;
83408;24/10/1994;0000;35.6;;28.62;
83408;24/10/1994;1200;;21.4;;
83408;25/10/1994;0000;37.3;;29.9;
83408;25/10/1994;1200;;21.3;;
83408;26/10/1994;0000;38.1;;31.32;
83408;26/10/1994;1200;;23.4;;
83408;27/10/1994;0000;36.7;;29.98;
83408;27/10/1994;1200;;26.2;;
83408;28/10/1994;0000;38.1;;30.24;
83408;28/10/1994;1200;;21.6;;
83408;29/10/1994;0000;33.1;;28.78;
83408;29/10/1994;1200;;23.6;;
83408;30/10/1994;0000;32.2;;27.36;
83408;30/10/1994;1200;;22.5;;
83408;31/10/1994;0000;34.2;;27.98;
83408;31/10/1994;1200;;21.4;;
83408;01/11/1994;0000;35.4;;28.4;
83408;01/11/1994;1200;;22.3;;
83408;02/11/1994;0000;37;;29.36;
83408;02/11/1994;1200;;20.5;;
83408;03/11/1994;0000;38.1;;30.46;
83408;03/11/1994;1200;;20.9;;
83408;04/11/1994;0000;36.2;;29.36;
83408;04/11/1994;1200;;23.2;;
83408;05/11/1994;0000;34.6;;28.7;
83408;05/11/1994;1200;;22;;
83408;06/11/1994;0000;35.7;;29.04;
83408;06/11/1994;1200;;22.6;;
83408;07/11/1994;0000;36.1;;29.1;
83408;07/11/1994;1200;;21.7;;
83408;08/11/1994;0000;37.2;;29.66;
83408;08/11/1994;1200;;21.7;;
83408;09/11/1994;0000;38.5;;30.5;
83408;09/11/1994;1200;;22.2;;
83408;10/11/1994;0000;39.1;;30.96;
83408;10/11/1994;1200;;23;;
83408;11/11/1994;0000;38.3;;29.78;
83408;11/11/1994;1200;;22.9;;
83408;12/11/1994;0000;36.6;;29.94;
83408;12/11/1994;1200;;24.6;;
83408;13/11/1994;0000;38.1;;31.72;
83408;13/11/1994;1200;;25.3;;
83408;14/11/1994;0000;37.3;;29.76;
83408;14/11/1994;1200;;24.2;;
83408;15/11/1994;0000;31.9;;27.48;
83408;15/11/1994;1200;;24.5;;
83408;16/11/1994;0000;31.7;;24.72;
83408;16/11/1994;1200;;21.3;;
83408;17/11/1994;0000;29.3;;25.62;
83408;17/11/1994;1200;;21.9;;
83408;18/11/1994;0000;29.5;;26.7;
83408;18/11/1994;1200;;23.1;;
83408;19/11/1994;0000;27.8;;24.56;
83408;19/11/1994;1200;;22.5;;
83408;20/11/1994;0000;29.9;;24.94;
83408;20/11/1994;1200;;21.7;;
83408;21/11/1994;0000;29.7;;24.14;
83408;21/11/1994;1200;;21.7;;
83408;22/11/1994;0000;25.5;;22.98;
83408;22/11/1994;1200;;21.7;;
83408;23/11/1994;0000;24.7;;22.2;
83408;23/11/1994;1200;;19.4;;
83408;24/11/1994;0000;26.8;;22.9;
83408;24/11/1994;1200;;20.2;;
83408;25/11/1994;0000;26.5;;22.6;
83408;25/11/1994;1200;;19.1;;
83408;26/11/1994;0000;30.8;;24.32;
83408;26/11/1994;1200;;18.7;;
83408;27/11/1994;0000;32.9;;25.54;
83408;27/11/1994;1200;;20.7;;
83408;28/11/1994;0000;29.4;;24.66;
83408;28/11/1994;1200;;20.8;;
83408;29/11/1994;0000;32.1;;26.1;
83408;29/11/1994;1200;;21.1;;
83408;30/11/1994;0000;32.8;;26.86;
83408;30/11/1994;1200;;22;;
83408;01/12/1994;0000;32.9;;26.7;
83408;01/12/1994;1200;;19.9;;
83408;02/12/1994;0000;31.4;;26.02;
83408;02/12/1994;1200;;20.6;;
83408;03/12/1994;0000;33.4;;27.72;
83408;03/12/1994;1200;;20.3;;
83408;04/12/1994;0000;32.8;;27.7;
83408;04/12/1994;1200;;23.1;;
83408;05/12/1994;0000;33.3;;26.34;
83408;05/12/1994;1200;;22.3;;
83408;06/12/1994;0000;31.4;;25.86;
83408;06/12/1994;1200;;22.6;;
83408;07/12/1994;0000;33.3;;27.54;
83408;07/12/1994;1200;;22.5;;
83408;08/12/1994;0000;32.2;;27.24;
83408;08/12/1994;1200;;22.7;;
83408;09/12/1994;0000;32.3;;27.74;
83408;09/12/1994;1200;;22.9;;
83408;10/12/1994;0000;31;;25.98;
83408;10/12/1994;1200;;21.8;;
83408;11/12/1994;0000;33.3;;27.14;
83408;11/12/1994;1200;;21.7;;
83408;12/12/1994;0000;35.2;;28.7;
83408;12/12/1994;1200;;22.2;;
83408;13/12/1994;0000;35.5;;28.64;
83408;13/12/1994;1200;;21.4;;
83408;14/12/1994;0000;35.5;;28.26;
83408;14/12/1994;1200;;19.5;;
83408;15/12/1994;0000;35.3;;28.74;
83408;15/12/1994;1200;;21.5;;
83408;16/12/1994;0000;35.5;;27.82;
83408;16/12/1994;1200;;22.5;;
83408;17/12/1994;0000;35.1;;27.94;
83408;17/12/1994;1200;;21.4;;
83408;18/12/1994;0000;34;;27.38;
83408;18/12/1994;1200;;20.2;;
83408;19/12/1994;0000;34.5;;27.26;
83408;19/12/1994;1200;;23.9;;
83408;20/12/1994;0000;34.2;;28.56;
83408;20/12/1994;1200;;22.3;;
83408;21/12/1994;0000;30.4;;23.34;
83408;21/12/1994;1200;;20.9;;
83408;22/12/1994;0000;29.3;;24.36;
83408;22/12/1994;1200;;20.2;;
83408;23/12/1994;0000;29.9;;24.72;
83408;23/12/1994;1200;;21.6;;
83408;24/12/1994;0000;28.5;;23.66;
83408;24/12/1994;1200;;21;;
83408;25/12/1994;0000;29.3;;23.78;
83408;25/12/1994;1200;;20.7;;
83408;26/12/1994;0000;30.7;;25.36;
83408;26/12/1994;1200;;21;;
83408;27/12/1994;0000;32.6;;25.96;
83408;27/12/1994;1200;;20.6;;
83408;28/12/1994;0000;33.9;;27.7;
83408;28/12/1994;1200;;22.2;;
83408;29/12/1994;0000;33.8;;27.54;
83408;29/12/1994;1200;;21.5;;
83408;30/12/1994;0000;35;;27.24;
83408;30/12/1994;1200;;20.5;;
83408;31/12/1994;0000;35.2;;27.46;
83408;31/12/1994;1200;;20.2;;
83408;01/01/1995;0000;34.5;;26.42;
83408;01/01/1995;1200;;20.9;;
83408;02/01/1995;0000;34.3;;27.44;
83408;02/01/1995;1200;;21.9;;
83408;03/01/1995;0000;33.8;;27.14;
83408;03/01/1995;1200;;21.2;;
83408;04/01/1995;0000;30.7;;25.74;
83408;04/01/1995;1200;;21.6;;
83408;05/01/1995;0000;26.6;;23.42;
83408;05/01/1995;1200;;21.2;;
83408;06/01/1995;0000;31.7;;24.8;
83408;06/01/1995;1200;;21.2;;
83408;07/01/1995;0000;33.3;;27.32;
83408;07/01/1995;1200;;20.9;;
83408;08/01/1995;0000;33.6;;27.08;
83408;08/01/1995;1200;;19.9;;
83408;09/01/1995;0000;34.4;;28.24;
83408;09/01/1995;1200;;21.3;;
83408;10/01/1995;0000;34.2;;27.54;
83408;10/01/1995;1200;;21.4;;
83408;11/01/1995;0000;34.2;;28.08;
83408;11/01/1995;1200;;21.3;;
83408;12/01/1995;0000;34.6;;27.68;
83408;12/01/1995;1200;;20.9;;
83408;13/01/1995;0000;34.8;;28.06;
83408;13/01/1995;1200;;21.9;;
83408;14/01/1995;0000;35.1;;28.2;
83408;14/01/1995;1200;;19.7;;
83408;15/01/1995;0000;36.1;;28.78;
83408;15/01/1995;1200;;20;;
83408;16/01/1995;0000;37.1;;30.28;
83408;16/01/1995;1200;;20.4;;
83408;17/01/1995;0000;37.9;;31.06;
83408;17/01/1995;1200;;20.7;;
83408;18/01/1995;0000;38.6;;30.96;
83408;18/01/1995;1200;;22.5;;
83408;19/01/1995;0000;37.5;;29.26;
83408;19/01/1995;1200;;24.9;;
83408;20/01/1995;0000;37.2;;30.04;
83408;20/01/1995;1200;;23.2;;
83408;21/01/1995;0000;37.5;;28.72;
83408;21/01/1995;1200;;21.4;;
83408;22/01/1995;0000;33.3;;24.62;
83408;22/01/1995;1200;;20.1;;
83408;23/01/1995;0000;33.9;;26.18;
83408;23/01/1995;1200;;20.1;;
83408;24/01/1995;0000;33.8;;27.26;
83408;24/01/1995;1200;;22.2;;
83408;25/01/1995;0000;32.1;;25.9;
83408;25/01/1995;1200;;21.9;;
83408;26/01/1995;0000;32.6;;27.5;
83408;26/01/1995;1200;;22.3;;
83408;27/01/1995;0000;35.5;;28.7;
83408;27/01/1995;1200;;21.5;;
83408;28/01/1995;0000;35.7;;27.78;
83408;28/01/1995;1200;;18.4;;
83408;29/01/1995;0000;36.3;;28.18;
83408;29/01/1995;1200;;19.5;;
83408;30/01/1995;0000;36.5;;27.46;
83408;30/01/1995;1200;;22.5;;
83408;31/01/1995;0000;30.1;;25.72;
83408;31/01/1995;1200;;22.4;;
83408;01/02/1995;0000;30.6;;24.66;
83408;01/02/1995;1200;;20.8;;
83408;02/02/1995;0000;29.5;;25.4;
83408;02/02/1995;1200;;22.2;;
83408;03/02/1995;0000;31.9;;24.72;
83408;03/02/1995;1200;;21.6;;
83408;04/02/1995;0000;33.7;;26.94;
83408;04/02/1995;1200;;20.5;;
83408;05/02/1995;0000;33.8;;27.68;
83408;05/02/1995;1200;;20.2;;
83408;06/02/1995;0000;31.3;;26.56;
83408;06/02/1995;1200;;23.5;;
83408;07/02/1995;0000;30.2;;26.42;
83408;07/02/1995;1200;;22.5;;
83408;08/02/1995;0000;30.5;;25.48;
83408;08/02/1995;1200;;21.5;;
83408;09/02/1995;0000;30.6;;25.06;
83408;09/02/1995;1200;;21.4;;
83408;10/02/1995;0000;28.9;;24.7;
83408;10/02/1995;1200;;21.7;;
83408;11/02/1995;0000;29.4;;25;
83408;11/02/1995;1200;;22.3;;
83408;12/02/1995;0000;29.1;;24.94;
83408;12/02/1995;1200;;21.1;;
83408;13/02/1995;0000;31.5;;26.6;
83408;13/02/1995;1200;;22.2;;
83408;14/02/1995;0000;32.7;;27.58;
83408;14/02/1995;1200;;22.9;;
83408;15/02/1995;0000;27.7;;22.34;
83408;15/02/1995;1200;;20;;
83408;16/02/1995;0000;31.7;;25.64;
83408;16/02/1995;1200;;20.6;;
83408;17/02/1995;0000;32.2;;25.68;
83408;17/02/1995;1200;;21.7;;
83408;18/02/1995;0000;32.3;;26.78;
83408;18/02/1995;1200;;20.9;;
83408;19/02/1995;0000;32.9;;27.08;
83408;19/02/1995;1200;;21.3;;
83408;20/02/1995;0000;28.7;;23.28;
83408;20/02/1995;1200;;19.8;;
83408;21/02/1995;0000;32.2;;26.3;
83408;21/02/1995;1200;;20.2;;
83408;22/02/1995;0000;32.9;;26.84;
83408;22/02/1995;1200;;20.3;;
83408;23/02/1995;0000;33.5;;27.5;
83408;23/02/1995;1200;;21.5;;
83408;24/02/1995;0000;32.9;;27.1;
83408;24/02/1995;1200;;21.9;;
83408;25/02/1995;0000;33.7;;28.3;
83408;25/02/1995;1200;;20.5;;
83408;26/02/1995;0000;31.5;;26.54;
83408;26/02/1995;1200;;21.9;;
83408;27/02/1995;0000;31.8;;26.18;
83408;27/02/1995;1200;;20.2;;
83408;28/02/1995;0000;33.3;;26.7;
83408;28/02/1995;1200;;21.5;;
83408;01/03/1995;0000;32.8;;26.34;
83408;01/03/1995;1200;;20;;
83408;02/03/1995;0000;33.6;;26.7;
83408;02/03/1995;1200;;19.5;;
83408;03/03/1995;0000;33.3;;26.72;
83408;03/03/1995;1200;;21.4;;
83408;04/03/1995;0000;34.7;;26.92;
83408;04/03/1995;1200;;18.4;;
83408;05/03/1995;0000;33.6;;27.38;
83408;05/03/1995;1200;;22.4;;
83408;06/03/1995;0000;34.7;;27.7;
83408;06/03/1995;1200;;20.5;;
83408;07/03/1995;0000;34.1;;27.9;
83408;07/03/1995;1200;;21.3;;
83408;08/03/1995;0000;34.7;;28.24;
83408;08/03/1995;1200;;22.4;;
83408;09/03/1995;0000;35.2;;27.6;
83408;09/03/1995;1200;;20.1;;
83408;10/03/1995;0000;35;;27.86;
83408;10/03/1995;1200;;19.2;;
83408;11/03/1995;0000;34.8;;28.7;
83408;11/03/1995;1200;;22.1;;
83408;12/03/1995;0000;35.2;;27.48;
83408;12/03/1995;1200;;19;;
83408;13/03/1995;0000;35.7;;28.8;
83408;13/03/1995;1200;;22;;
83408;14/03/1995;0000;28.4;;24.82;
83408;14/03/1995;1200;;22.2;;
83408;15/03/1995;0000;28.8;;25.12;
83408;15/03/1995;1200;;21.2;;
83408;16/03/1995;0000;32.5;;26.74;
83408;16/03/1995;1200;;21.9;;
83408;17/03/1995;0000;34.7;;26.32;
83408;17/03/1995;1200;;22;;
83408;18/03/1995;0000;29.9;;25.26;
83408;18/03/1995;1200;;21.7;;
83408;19/03/1995;0000;32.8;;27.34;
83408;19/03/1995;1200;;22;;
83408;20/03/1995;0000;33.7;;28.1;
83408;20/03/1995;1200;;22.3;;
83408;21/03/1995;0000;34.5;;28.84;
83408;21/03/1995;1200;;23.2;;
83408;22/03/1995;0000;33.4;;27.88;
83408;22/03/1995;1200;;23.1;;
83408;23/03/1995;0000;28.3;;24.48;
83408;23/03/1995;1200;;22.2;;
83408;24/03/1995;0000;30.7;;25.18;
83408;24/03/1995;1200;;22.3;;
83408;25/03/1995;0000;32.1;;26.24;
83408;25/03/1995;1200;;21.2;;
83408;26/03/1995;0000;28.7;;24.46;
83408;26/03/1995;1200;;21.9;;
83408;27/03/1995;0000;30.8;;26.02;
83408;27/03/1995;1200;;21.2;;
83408;28/03/1995;0000;31.7;;25.42;
83408;28/03/1995;1200;;21.9;;
83408;29/03/1995;0000;30.6;;25.76;
83408;29/03/1995;1200;;21.7;;
83408;30/03/1995;0000;32.5;;26.84;
83408;30/03/1995;1200;;21.9;;
83408;31/03/1995;0000;32.4;;26.8;
83408;31/03/1995;1200;;22.3;;
83408;01/04/1995;0000;28.3;;25.38;
83408;01/04/1995;1200;;22.9;;
83408;02/04/1995;0000;33.9;;26.68;
83408;02/04/1995;1200;;20.4;;
83408;03/04/1995;0000;33;;27.8;
83408;03/04/1995;1200;;22.4;;
83408;04/04/1995;0000;30.1;;25.32;
83408;04/04/1995;1200;;21.6;;
83408;05/04/1995;0000;30.6;;26.38;
83408;05/04/1995;1200;;22.7;;
83408;06/04/1995;0000;30.7;;25.98;
83408;06/04/1995;1200;;20.9;;
83408;07/04/1995;0000;31.6;;26.32;
83408;07/04/1995;1200;;20.9;;
83408;08/04/1995;0000;32.2;;26.74;
83408;08/04/1995;1200;;22;;
83408;09/04/1995;0000;31.9;;26.14;
83408;09/04/1995;1200;;19.9;;
83408;10/04/1995;0000;31.8;;26.24;
83408;10/04/1995;1200;;20.8;;
83408;11/04/1995;0000;32.4;;26.1;
83408;11/04/1995;1200;;18.4;;
83408;12/04/1995;0000;32.7;;26.12;
83408;12/04/1995;1200;;18.6;;
83408;13/04/1995;0000;30.7;;25.24;
83408;13/04/1995;1200;;21.7;;
83408;14/04/1995;0000;32;;26.18;
83408;14/04/1995;1200;;22.1;;
83408;15/04/1995;0000;30.7;;25.76;
83408;15/04/1995;1200;;19.5;;
83408;16/04/1995;0000;31.5;;26.3;
83408;16/04/1995;1200;;21.5;;
83408;17/04/1995;0000;32.3;;25.56;
83408;17/04/1995;1200;;20.2;;
83408;18/04/1995;0000;31.9;;25.86;
83408;18/04/1995;1200;;20.4;;
83408;19/04/1995;0000;32.8;;26.6;
83408;19/04/1995;1200;;20.3;;
83408;20/04/1995;0000;33;;26.64;
83408;20/04/1995;1200;;20.3;;
83408;21/04/1995;0000;33.9;;27.52;
83408;21/04/1995;1200;;20.9;;
83408;22/04/1995;0000;32.1;;26.24;
83408;22/04/1995;1200;;21.6;;
83408;23/04/1995;0000;30.9;;25.78;
83408;23/04/1995;1200;;22.3;;
83408;24/04/1995;0000;33.3;;27.38;
83408;24/04/1995;1200;;21.9;;
83408;25/04/1995;0000;32.1;;26.96;
83408;25/04/1995;1200;;21.9;;
83408;26/04/1995;0000;32.3;;26.22;
83408;26/04/1995;1200;;23;;
83408;27/04/1995;0000;31.6;;26.48;
83408;27/04/1995;1200;;20.4;;
83408;28/04/1995;0000;31.4;;25.36;
83408;28/04/1995;1200;;21.3;;
83408;29/04/1995;0000;31.9;;25.38;
83408;29/04/1995;1200;;19.7;;
83408;30/04/1995;0000;33.2;;26.78;
83408;30/04/1995;1200;;20.3;;
83408;01/05/1995;0000;33.3;;26.54;
83408;01/05/1995;1200;;20.1;;
83408;02/05/1995;0000;32.7;;26.16;
83408;02/05/1995;1200;;19.7;;
83408;03/05/1995;0000;32.8;;26.38;
83408;03/05/1995;1200;;21.3;;
83408;04/05/1995;0000;32.6;;26.26;
83408;04/05/1995;1200;;21.2;;
83408;05/05/1995;0000;32.3;;26.16;
83408;05/05/1995;1200;;22;;
83408;06/05/1995;0000;31.1;;25.36;
83408;06/05/1995;1200;;18.2;;
83408;07/05/1995;0000;31.7;;25.38;
83408;07/05/1995;1200;;20.3;;
83408;08/05/1995;0000;34.5;;27.44;
83408;08/05/1995;1200;;21.8;;
83408;09/05/1995;0000;33.7;;27.56;
83408;09/05/1995;1200;;21.1;;
83408;10/05/1995;0000;33.1;;27.5;
83408;10/05/1995;1200;;21.9;;
83408;11/05/1995;0000;32.5;;27.42;
83408;11/05/1995;1200;;20.9;;
83408;12/05/1995;0000;32.6;;26.88;
83408;12/05/1995;1200;;22.7;;
83408;13/05/1995;0000;33.5;;27.22;
83408;13/05/1995;1200;;22.4;;
83408;14/05/1995;0000;32.4;;26.28;
83408;14/05/1995;1200;;19.9;;
83408;15/05/1995;0000;31.9;;25.74;
83408;15/05/1995;1200;;19.9;;
83408;16/05/1995;0000;33.1;;27.02;
83408;16/05/1995;1200;;19.9;;
83408;17/05/1995;0000;33.2;;27.72;
83408;17/05/1995;1200;;21.9;;
83408;18/05/1995;0000;33.9;;26.16;
83408;18/05/1995;1200;;19.4;;
83408;19/05/1995;0000;34.5;;26.54;
83408;19/05/1995;1200;;18.7;;
83408;20/05/1995;0000;34.2;;26.98;
83408;20/05/1995;1200;;20.1;;
83408;21/05/1995;0000;33.5;;25.64;
83408;21/05/1995;1200;;19.8;;
83408;22/05/1995;0000;30.3;;24.44;
83408;22/05/1995;1200;;21.4;;
83408;23/05/1995;0000;31.1;;25.04;
83408;23/05/1995;1200;;20.4;;
83408;24/05/1995;0000;31.1;;24.82;
83408;24/05/1995;1200;;18.9;;
83408;25/05/1995;0000;30.1;;25.52;
83408;25/05/1995;1200;;19.1;;
83408;26/05/1995;0000;31.8;;25.66;
83408;26/05/1995;1200;;20.9;;
83408;27/05/1995;0000;29.6;;23.88;
83408;27/05/1995;1200;;18.3;;
83408;28/05/1995;0000;29.4;;22.96;
83408;28/05/1995;1200;;16.5;;
83408;29/05/1995;0000;31.3;;23.74;
83408;29/05/1995;1200;;16.2;;
83408;30/05/1995;0000;32.2;;24.66;
83408;30/05/1995;1200;;17.2;;
83408;31/05/1995;0000;31.9;;24.86;
83408;31/05/1995;1200;;18.2;;
83408;01/06/1995;0000;31.2;;24.16;
83408;01/06/1995;1200;;16.3;;
83408;02/06/1995;0000;31.3;;23.36;
83408;02/06/1995;1200;;15.4;;
83408;03/06/1995;0000;31.9;;23.68;
83408;03/06/1995;1200;;15.5;;
83408;04/06/1995;0000;31.1;;23.34;
83408;04/06/1995;1200;;14.9;;
83408;05/06/1995;0000;29.9;;22;
83408;05/06/1995;1200;;15.4;;
83408;06/06/1995;0000;29.8;;22.12;
83408;06/06/1995;1200;;13.7;;
83408;07/06/1995;0000;30.1;;21.36;
83408;07/06/1995;1200;;11.6;;
83408;08/06/1995;0000;30.9;;21.24;
83408;08/06/1995;1200;;11.9;;
83408;09/06/1995;0000;31.4;;23.14;
83408;09/06/1995;1200;;14;;
83408;10/06/1995;0000;31.5;;22.68;
83408;10/06/1995;1200;;14.2;;
83408;11/06/1995;0000;31.4;;23.44;
83408;11/06/1995;1200;;14.9;;
83408;12/06/1995;0000;30.7;;24.38;
83408;12/06/1995;1200;;19.9;;
83408;13/06/1995;0000;31.6;;22.7;
83408;13/06/1995;1200;;15;;
83408;14/06/1995;0000;30.9;;22.72;
83408;14/06/1995;1200;;15;;
83408;15/06/1995;0000;31.8;;23.94;
83408;15/06/1995;1200;;15;;
83408;16/06/1995;0000;32.1;;23.6;
83408;16/06/1995;1200;;15.3;;
83408;17/06/1995;0000;32.4;;24.2;
83408;17/06/1995;1200;;16.7;;
83408;18/06/1995;0000;32.1;;23.3;
83408;18/06/1995;1200;;14.3;;
83408;19/06/1995;0000;32;;22.84;
83408;19/06/1995;1200;;14.5;;
83408;20/06/1995;0000;31.4;;24.24;
83408;20/06/1995;1200;;15.9;;
83408;21/06/1995;0000;29.6;;23.24;
83408;21/06/1995;1200;;18.3;;
83408;22/06/1995;0000;30.6;;22.24;
83408;22/06/1995;1200;;14.4;;
83408;23/06/1995;0000;30.7;;23.76;
83408;23/06/1995;1200;;15.7;;
83408;24/06/1995;0000;31.9;;23.62;
83408;24/06/1995;1200;;16.6;;
83408;25/06/1995;0000;31.7;;24.68;
83408;25/06/1995;1200;;16;;
83408;26/06/1995;0000;32.9;;24.74;
83408;26/06/1995;1200;;17.9;;
83408;27/06/1995;0000;32;;24.9;
83408;27/06/1995;1200;;17.1;;
83408;28/06/1995;0000;31;;24.32;
83408;28/06/1995;1200;;17.3;;
83408;29/06/1995;0000;28.5;;22.68;
83408;29/06/1995;1200;;18.7;;
83408;30/06/1995;0000;28.1;;23.32;
83408;30/06/1995;1200;;17.9;;
83408;01/07/1995;0000;29.5;;23.74;
83408;01/07/1995;1200;;18.6;;
83408;02/07/1995;0000;30.5;;23.88;
83408;02/07/1995;1200;;18.8;;
83408;03/07/1995;0000;31;;23.3;
83408;03/07/1995;1200;;16;;
83408;04/07/1995;0000;31.1;;23.86;
83408;04/07/1995;1200;;17.3;;
83408;05/07/1995;0000;29.8;;23.16;
83408;05/07/1995;1200;;18.9;;
83408;06/07/1995;0000;31.3;;23.62;
83408;06/07/1995;1200;;15.1;;
83408;07/07/1995;0000;31.4;;22.82;
83408;07/07/1995;1200;;15.3;;
83408;08/07/1995;0000;32.1;;23;
83408;08/07/1995;1200;;14.5;;
83408;09/07/1995;0000;33.5;;23.28;
83408;09/07/1995;1200;;14;;
83408;10/07/1995;0000;32.9;;23.88;
83408;10/07/1995;1200;;16.1;;
83408;11/07/1995;0000;33;;24.84;
83408;11/07/1995;1200;;15.1;;
83408;12/07/1995;0000;30.7;;23.74;
83408;12/07/1995;1200;;16.3;;
83408;13/07/1995;0000;30;;25.32;
83408;13/07/1995;1200;;19.5;;
83408;14/07/1995;0000;29.8;;24.72;
83408;14/07/1995;1200;;21.1;;
83408;15/07/1995;0000;30.2;;23.96;
83408;15/07/1995;1200;;17.4;;
83408;16/07/1995;0000;29.1;;23.46;
83408;16/07/1995;1200;;20.5;;
83408;17/07/1995;0000;30.1;;22.46;
83408;17/07/1995;1200;;14.9;;
83408;18/07/1995;0000;30.9;;22.9;
83408;18/07/1995;1200;;14.5;;
83408;19/07/1995;0000;31.4;;23.36;
83408;19/07/1995;1200;;14.9;;
83408;20/07/1995;0000;31.1;;23.94;
83408;20/07/1995;1200;;17;;
83408;21/07/1995;0000;31.6;;23.92;
83408;21/07/1995;1200;;15.7;;
83408;22/07/1995;0000;29.3;;22.94;
83408;22/07/1995;1200;;15.9;;
83408;23/07/1995;0000;31.6;;23.6;
83408;23/07/1995;1200;;14.3;;
83408;24/07/1995;0000;32.3;;24.7;
83408;24/07/1995;1200;;18.4;;
83408;25/07/1995;0000;32.9;;24.88;
83408;25/07/1995;1200;;16.6;;
83408;26/07/1995;0000;30.4;;23.86;
83408;26/07/1995;1200;;19.9;;
83408;27/07/1995;0000;29.9;;22.88;
83408;27/07/1995;1200;;15.4;;
83408;28/07/1995;0000;30.7;;23.56;
83408;28/07/1995;1200;;15.4;;
83408;29/07/1995;0000;31.6;;24.36;
83408;29/07/1995;1200;;17.4;;
83408;30/07/1995;0000;31.1;;24.16;
83408;30/07/1995;1200;;18.9;;
83408;31/07/1995;0000;31.7;;23.58;
83408;31/07/1995;1200;;15.7;;
83408;01/08/1995;0000;31.7;;24.42;
83408;01/08/1995;1200;;14.9;;
83408;02/08/1995;0000;32.3;;25.18;
83408;02/08/1995;1200;;15.9;;
83408;03/08/1995;0000;32.2;;25.32;
83408;03/08/1995;1200;;17.7;;
83408;04/08/1995;0000;32.5;;24.32;
83408;04/08/1995;1200;;16.3;;
83408;05/08/1995;0000;33.8;;25.38;
83408;05/08/1995;1200;;17.2;;
83408;06/08/1995;0000;32.3;;26.06;
83408;06/08/1995;1200;;21.5;;
83408;07/08/1995;0000;31.5;;25.72;
83408;07/08/1995;1200;;19.9;;
83408;08/08/1995;0000;31.6;;24.46;
83408;08/08/1995;1200;;19.4;;
83408;09/08/1995;0000;31.7;;24.42;
83408;09/08/1995;1200;;18.3;;
83408;10/08/1995;0000;33.4;;23.88;
83408;10/08/1995;1200;;14.4;;
83408;11/08/1995;0000;33.5;;24.7;
83408;11/08/1995;1200;;15.5;;
83408;12/08/1995;0000;32.3;;24.3;
83408;12/08/1995;1200;;16.3;;
83408;13/08/1995;0000;33.1;;24.92;
83408;13/08/1995;1200;;17.2;;
83408;14/08/1995;0000;33.9;;24.74;
83408;14/08/1995;1200;;15.9;;
83408;15/08/1995;0000;34.7;;24.54;
83408;15/08/1995;1200;;14.7;;
83408;16/08/1995;0000;34.6;;26.02;
83408;16/08/1995;1200;;15.2;;
83408;17/08/1995;0000;31.4;;24.92;
83408;17/08/1995;1200;;16.9;;
83408;18/08/1995;0000;29.9;;24.2;
